year-month	data_source	country	term	hits	number of news
2017-4	Wikipedia	english	Brown recluse spider	147405	37
2017-5	Wikipedia	english	Brown recluse spider	138513	22
2017-6	Wikipedia	english	Brown recluse spider	167603	41
2017-7	Wikipedia	english	Brown recluse spider	169969	38
2017-8	Wikipedia	english	Brown recluse spider	156342	38
2017-9	Wikipedia	english	Brown recluse spider	144889	32
2018-1	Wikipedia	english	Brown recluse spider	54473	19
2018-10	Wikipedia	english	Brown recluse spider	130472	33
2018-11	Wikipedia	english	Brown recluse spider	82226	15
2018-12	Wikipedia	english	Brown recluse spider	55929	11
2018-2	Wikipedia	english	Brown recluse spider	49178	11
2018-3	Wikipedia	english	Brown recluse spider	84080	26
2018-4	Wikipedia	english	Brown recluse spider	97376	10
2018-5	Wikipedia	english	Brown recluse spider	155585	23
2018-6	Wikipedia	english	Brown recluse spider	190712	22
2018-7	Wikipedia	english	Brown recluse spider	256673	48
2018-8	Wikipedia	english	Brown recluse spider	197914	15
2018-9	Wikipedia	english	Brown recluse spider	210207	25
2019-1	Wikipedia	english	Brown recluse spider	50574	17
2019-10	Wikipedia	english	Brown recluse spider	111854	27
2019-11	Wikipedia	english	Brown recluse spider	61300	15
2019-12	Wikipedia	english	Brown recluse spider	51786	18
2019-2	Wikipedia	english	Brown recluse spider	42307	4
2019-3	Wikipedia	english	Brown recluse spider	56093	16
2019-4	Wikipedia	english	Brown recluse spider	82472	14
2019-5	Wikipedia	english	Brown recluse spider	116092	10
2019-6	Wikipedia	english	Brown recluse spider	152815	15
2019-7	Wikipedia	english	Brown recluse spider	163590	45
2019-8	Wikipedia	english	Brown recluse spider	159225	46
2019-9	Wikipedia	english	Brown recluse spider	156849	32
2020-1	Wikipedia	english	Brown recluse spider	46081	9
2020-10	Wikipedia	english	Brown recluse spider	106961	2
2020-11	Wikipedia	english	Brown recluse spider	69411	8
2020-12	Wikipedia	english	Brown recluse spider	53104	5
2020-2	Wikipedia	english	Brown recluse spider	39898	2
2020-3	Wikipedia	english	Brown recluse spider	58092	3
2020-4	Wikipedia	english	Brown recluse spider	81737	1
2020-5	Wikipedia	english	Brown recluse spider	121716	1
2020-6	Wikipedia	english	Brown recluse spider	137396	NA
2020-7	Wikipedia	english	Brown recluse spider	136288	NA
2020-8	Wikipedia	english	Brown recluse spider	150555	NA
2020-9	Wikipedia	english	Brown recluse spider	150228	NA
2010-1	Wikipedia	english	Latrodectus	NA	2
2010-10	Wikipedia	english	Latrodectus	NA	2
2010-11	Wikipedia	english	Latrodectus	NA	3
2010-12	Wikipedia	english	Latrodectus	NA	0
2010-2	Wikipedia	english	Latrodectus	NA	2
2010-3	Wikipedia	english	Latrodectus	NA	1
2010-4	Wikipedia	english	Latrodectus	NA	1
2010-5	Wikipedia	english	Latrodectus	NA	6
2010-6	Wikipedia	english	Latrodectus	NA	1
2010-7	Wikipedia	english	Latrodectus	NA	2
2010-8	Wikipedia	english	Latrodectus	NA	3
2010-9	Wikipedia	english	Latrodectus	NA	4
2011-1	Wikipedia	english	Latrodectus	NA	3
2011-10	Wikipedia	english	Latrodectus	NA	2
2011-11	Wikipedia	english	Latrodectus	NA	0
2011-12	Wikipedia	english	Latrodectus	NA	4
2011-2	Wikipedia	english	Latrodectus	NA	3
2011-3	Wikipedia	english	Latrodectus	NA	4
2011-4	Wikipedia	english	Latrodectus	NA	0
2011-5	Wikipedia	english	Latrodectus	NA	7
2011-6	Wikipedia	english	Latrodectus	NA	6
2011-7	Wikipedia	english	Latrodectus	NA	6
2011-8	Wikipedia	english	Latrodectus	NA	4
2011-9	Wikipedia	english	Latrodectus	NA	5
2012-1	Wikipedia	english	Latrodectus	NA	2
2012-10	Wikipedia	english	Latrodectus	NA	8
2012-11	Wikipedia	english	Latrodectus	NA	6
2012-12	Wikipedia	english	Latrodectus	NA	6
2012-2	Wikipedia	english	Latrodectus	NA	4
2012-3	Wikipedia	english	Latrodectus	NA	2
2012-4	Wikipedia	english	Latrodectus	NA	4
2012-5	Wikipedia	english	Latrodectus	NA	6
2012-6	Wikipedia	english	Latrodectus	NA	18
2012-7	Wikipedia	english	Latrodectus	NA	9
2012-8	Wikipedia	english	Latrodectus	NA	9
2012-9	Wikipedia	english	Latrodectus	NA	5
2013-1	Wikipedia	english	Latrodectus	NA	6
2013-10	Wikipedia	english	Latrodectus	NA	34
2013-11	Wikipedia	english	Latrodectus	NA	43
2013-12	Wikipedia	english	Latrodectus	NA	8
2013-2	Wikipedia	english	Latrodectus	NA	11
2013-3	Wikipedia	english	Latrodectus	NA	4
2013-4	Wikipedia	english	Latrodectus	NA	4
2013-5	Wikipedia	english	Latrodectus	NA	32
2013-6	Wikipedia	english	Latrodectus	NA	6
2013-7	Wikipedia	english	Latrodectus	NA	2
2013-8	Wikipedia	english	Latrodectus	NA	7
2013-9	Wikipedia	english	Latrodectus	NA	15
2014-1	Wikipedia	english	Latrodectus	NA	9
2014-10	Wikipedia	english	Latrodectus	NA	59
2014-11	Wikipedia	english	Latrodectus	NA	26
2014-12	Wikipedia	english	Latrodectus	NA	8
2014-2	Wikipedia	english	Latrodectus	NA	11
2014-3	Wikipedia	english	Latrodectus	NA	6
2014-4	Wikipedia	english	Latrodectus	NA	4
2014-5	Wikipedia	english	Latrodectus	NA	3
2014-6	Wikipedia	english	Latrodectus	NA	4
2014-7	Wikipedia	english	Latrodectus	NA	5
2014-8	Wikipedia	english	Latrodectus	NA	16
2014-9	Wikipedia	english	Latrodectus	NA	32
2015-1	Wikipedia	english	Latrodectus	NA	4
2015-10	Wikipedia	english	Latrodectus	82696	24
2015-11	Wikipedia	english	Latrodectus	58858	26
2015-12	Wikipedia	english	Latrodectus	37973	12
2015-2	Wikipedia	english	Latrodectus	NA	4
2015-3	Wikipedia	english	Latrodectus	NA	11
2015-4	Wikipedia	english	Latrodectus	NA	14
2015-5	Wikipedia	english	Latrodectus	NA	17
2015-6	Wikipedia	english	Latrodectus	NA	26
2015-7	Wikipedia	english	Latrodectus	91655	19
2015-8	Wikipedia	english	Latrodectus	93895	17
2015-9	Wikipedia	english	Latrodectus	114834	41
2016-1	Wikipedia	english	Latrodectus	39499	10
2016-10	Wikipedia	english	Latrodectus	69067	14
2016-11	Wikipedia	english	Latrodectus	48155	30
2016-12	Wikipedia	english	Latrodectus	33607	26
2016-2	Wikipedia	english	Latrodectus	38950	16
2016-3	Wikipedia	english	Latrodectus	50561	15
2016-4	Wikipedia	english	Latrodectus	56894	25
2016-5	Wikipedia	english	Latrodectus	64452	15
2016-6	Wikipedia	english	Latrodectus	66438	6
2016-7	Wikipedia	english	Latrodectus	67200	9
2016-8	Wikipedia	english	Latrodectus	69166	20
2016-9	Wikipedia	english	Latrodectus	94958	34
2017-1	Wikipedia	english	Latrodectus	35911	19
2017-10	Wikipedia	english	Latrodectus	65357	18
2017-11	Wikipedia	english	Latrodectus	49354	9
2017-12	Wikipedia	english	Latrodectus	34004	17
2017-2	Wikipedia	english	Latrodectus	37017	18
2017-3	Wikipedia	english	Latrodectus	43933	11
2017-4	Wikipedia	english	Latrodectus	58227	37
2017-5	Wikipedia	english	Latrodectus	63048	22
2017-6	Wikipedia	english	Latrodectus	94306	41
2017-7	Wikipedia	english	Latrodectus	77137	38
2017-8	Wikipedia	english	Latrodectus	72523	38
2017-9	Wikipedia	english	Latrodectus	70104	32
2018-1	Wikipedia	english	Latrodectus	35044	19
2018-10	Wikipedia	english	Latrodectus	75245	33
2018-11	Wikipedia	english	Latrodectus	39964	15
2018-12	Wikipedia	english	Latrodectus	30865	11
